Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tyreek Hill,MIA,WR,11,LV,0,0,0,3.4,0,7.1,101.3,0.7,0,0,0,0,24.7,24.67
2,Patrick Mahomes,KC,QB,11,PHI,273.7,2,0.7,23.5,0.2,0,0,0,0,0,0,0,21.6,21.6
3,Lamar Jackson,BAL,QB,11,CIN,223.1,1.4,0.7,50.3,0.4,0,0,0,0,0,0,0,21,20.95
4,Josh Allen,BUF,QB,11,NYJ,233.4,1.6,0.9,31.8,0.5,0,0,0,0,0,0,0,20.7,20.72
5,Jalen Hurts,PHI,QB,11,KC,224.6,1.3,0.7,41.2,0.5,0,0,0,0,0,0,0,20.4,20.4
6,Christian McCaffrey,SF,RB,11,TB,0,0,0,77.9,0.7,4.3,30,0.2,0,0,0,0,20.4,20.39
7,Tua Tagovailoa,MIA,QB,11,LV,282.8,2.1,0.8,5.6,0.1,0,0,0,0,0,0,0,19.9,19.87
8,Dak Prescott,DAL,QB,11,CAR,256.3,1.9,0.7,15.9,0.2,0,0,0,0,0,0,0,19.7,19.74
9,CeeDee Lamb,DAL,WR,11,CAR,0,0,0,3.5,0,6.8,90.7,0.6,0,0,0,0,19.7,19.72
10,Amon-Ra St. Brown,DET,WR,11,CHI,0,0,0,2.8,0,7.2,87,0.6,0,0,0,0,19.7,19.68
11,C.J. Stroud,HOU,QB,11,ARI,271.2,2,0.6,9.6,0.1,0,0,0,0,0,0,0,19.6,19.61
12,Ja'Marr Chase,CIN,WR,11,BAL,0,0,0,1.1,0,6.8,87.3,0.6,0,0,0,0,19.2,19.24
13,Jared Goff,DET,QB,11,CHI,281.2,1.9,0.7,4.5,0.1,0,0,0,0,0,0,0,19,19
14,Keenan Allen,LAC,WR,11,GB,0,0,0,0.3,0,7.3,86.5,0.5,0,0,0,0,19,18.98
15,Austin Ekeler,LAC,RB,11,GB,0,0,0,60.5,0.5,5,31.7,0.3,0,0,0,0,18.9,18.92
16,Justin Herbert,LAC,QB,11,GB,255.5,1.7,0.7,14.2,0.2,0,0,0,0,0,0,0,18.8,18.84
17,Justin Fields,CHI,QB,11,DET,207.1,1.3,1,45.6,0.3,0,0,0,0,0,0,0,18.6,18.64
18,Sam Howell,WAS,QB,11,NYG,262.5,1.7,0.9,18.3,0.1,0,0,0,0,0,0,0,18.6,18.63
19,Joe Burrow,CIN,QB,11,BAL,243.7,1.7,0.8,17.2,0.2,0,0,0,0,0,0,0,18.6,18.57
20,A.J. Brown,PHI,WR,11,KC,0,0,0,0.8,0,6,88.8,0.6,0,0,0,0,18.6,18.56
21,Kyler Murray,ARI,QB,11,HOU,223.2,1.3,0.7,30.7,0.3,0,0,0,0,0,0,0,18.1,18.1
22,Cooper Kupp,LAR,WR,11,SEA,0,0,0,1.2,0,6.4,82,0.5,0,0,0,0,17.7,17.72
23,Trevor Lawrence,JAX,QB,11,TEN,238.2,1.4,0.7,20.2,0.2,0,0,0,0,0,0,0,17.4,17.45
24,Stefon Diggs,BUF,WR,11,NYJ,0,0,0,0.2,0,6.6,77.3,0.5,0,0,0,0,17.2,17.25
25,Joshua Dobbs,MIN,QB,11,DEN,229.6,1.3,0.8,27.4,0.2,0,0,0,0,0,0,0,17.2,17.22
26,Brock Purdy,SF,QB,11,TB,241.9,1.6,0.6,11.5,0.1,0,0,0,0,0,0,0,17.1,17.13
27,Geno Smith,SEA,QB,11,LAR,245.4,1.6,0.8,11.6,0.1,0,0,0,0,0,0,0,17,16.98
28,Travis Kelce,KC,TE,11,PHI,0,0,0,0,0,6.7,71.4,0.5,0,0,0,0,16.8,16.84
29,Russell Wilson,DEN,QB,11,MIN,199,1.5,0.6,23.5,0.2,0,0,0,0,0,0,0,16.7,16.71
30,Travis Etienne Jr.,JAX,RB,11,TEN,0,0,0,71.6,0.6,2.9,19.9,0.1,0,0,0,0,16.2,16.15
31,Jordan Love,GB,QB,11,LAC,224.2,1.4,0.8,15.6,0.1,0,0,0,0,0,0,0,15.8,15.83
32,Matthew Stafford,LAR,QB,11,SEA,238.2,1.5,0.8,5.4,0.1,0,0,0,0,0,0,0,15.8,15.77
33,Puka Nacua,LAR,WR,11,SEA,0,0,0,0.2,0,5.9,71,0.4,0,0,0,0,15.4,15.42
34,T.J. Hockenson,MIN,TE,11,DEN,0,0,0,0,0,6.4,63.2,0.4,0,0,0,0,15.1,15.12
35,Brandon Aiyuk,SF,WR,11,TB,0,0,0,1.1,0,4.8,70.5,0.5,0,0,0,0,15,14.96
36,Davante Adams,LV,WR,11,MIA,0,0,0,0.3,0,5.7,68.1,0.4,0,0,0,0,14.8,14.84
37,Saquon Barkley,NYG,RB,11,WAS,0,0,0,72.3,0.4,3,17,0.1,0,0,0,0,14.8,14.83
38,Jaylen Waddle,MIA,WR,11,LV,0,0,0,1.7,0,5.2,70.4,0.4,0,0,0,0,14.8,14.81
39,Aaron Jones,GB,RB,11,LAC,0,0,0,57.4,0.4,3.4,21.5,0.2,0,0,0,0,14.8,14.79
40,Javonte Williams,DEN,RB,11,MIN,0,0,0,68.7,0.5,2.7,14.4,0.1,0,0,0,0,14.5,14.51
41,Tony Pollard,DAL,RB,11,CAR,0,0,0,62.5,0.5,2.9,18.1,0.1,0,0,0,0,14.5,14.46
42,Jahmyr Gibbs,DET,RB,11,CHI,0,0,0,52.7,0.4,3.9,23.1,0.1,0,0,0,0,14.4,14.38
42,Adam Thielen,CAR,WR,11,DAL,0,0,0,0.1,0,6,60.7,0.4,0,0,0,0,14.4,14.38
44,Breece Hall,NYJ,RB,11,BUF,0,0,0,65.8,0.5,2.6,16.8,0.1,0,0,0,0,14.4,14.36
45,Josh Jacobs,LV,RB,11,MIA,0,0,0,69.6,0.4,2.7,17.1,0.1,0,0,0,0,14.3,14.27
46,Mark Andrews,BAL,TE,11,CIN,0,0,0,0.1,0,5.2,60.4,0.5,0,0,0,0,14.2,14.25
47,Baker Mayfield,TB,QB,11,SF,223.5,1.1,0.8,13,0.1,0,0,0,0,0,0,0,14.2,14.24
48,D'Andre Swift,PHI,RB,11,KC,0,0,0,67.5,0.4,2.9,16.3,0.1,0,0,0,0,14.2,14.18
49,Terry McLaurin,WAS,WR,11,NYG,0,0,0,0.7,0,5,66.5,0.4,0,0,0,0,14.1,14.12
50,Deebo Samuel,SF,WR,11,TB,0,0,0,14.8,0.2,4.1,54.3,0.3,0,0,0,0,13.9,13.91
50,DJ Moore,CHI,WR,11,DET,0,0,0,1.7,0,4.6,68.4,0.4,0,0,0,0,13.9,13.91
52,Mike Evans,TB,WR,11,SF,0,0,0,0.1,0,4.6,67.2,0.4,0,0,0,0,13.7,13.73
53,James Conner,ARI,RB,11,HOU,0,0,0,69.1,0.5,2,13.1,0.1,0,0,0,0,13.7,13.72
54,DK Metcalf,SEA,WR,11,LAR,0,0,0,0.4,0,4.8,64.6,0.4,0,0,0,0,13.7,13.7
55,Joe Mixon,CIN,RB,11,BAL,0,0,0,57.9,0.5,2.8,15.1,0.1,0,0,0,0,13.6,13.6
56,Garrett Wilson,NYJ,WR,11,BUF,0,0,0,1,0,5.3,64.9,0.3,0,0,0,0,13.6,13.59
57,Christian Kirk,JAX,WR,11,TEN,0,0,0,0.5,0,4.9,62.1,0.4,0,0,0,0,13.5,13.46
58,Tank Dell,HOU,WR,11,ARI,0,0,0,4.7,0,4.6,59.3,0.4,0,0,0,0,13.4,13.4
59,Devin Singletary,HOU,RB,11,ARI,0,0,0,70.4,0.5,1.8,10.5,0.1,0,0,0,0,13.4,13.39
59,Brian Robinson Jr.,WAS,RB,11,NYG,0,0,0,62.1,0.5,2.2,14.8,0.1,0,0,0,0,13.4,13.39
61,DeVonta Smith,PHI,WR,11,KC,0,0,0,0.1,0,4.8,61.7,0.4,0,0,0,0,13.4,13.38
62,Nico Collins,HOU,WR,11,ARI,0,0,0,0,0,4.5,64.3,0.4,0,0,0,0,13.3,13.33
63,Bryce Young,CAR,QB,11,DAL,205.3,1,0.8,14.7,0.1,0,0,0,0,0,0,0,13.3,13.28
64,Will Levis,TEN,QB,11,JAX,213.9,1,0.8,8.8,0.1,0,0,0,0,0,0,0,13.1,13.14
65,Marquise Brown,ARI,WR,11,HOU,0,0,0,0.5,0,4.9,57.5,0.4,0,0,0,0,13.1,13.1
66,Zach Wilson,NYJ,QB,11,BUF,204.9,0.9,0.8,16.4,0.1,0,0,0,0,0,0,0,13,13.04
67,Kenneth Walker III,SEA,RB,11,LAR,0,0,0,68.6,0.6,1.6,10.4,0,0,0,0,0,13,13
68,Derrick Henry,TEN,RB,11,JAX,0,0,0,65.7,0.5,1.8,10.5,0.1,0,0,0,0,12.9,12.92
69,Dorian Thompson-Robinson,CLE,QB,11,PIT,181,0.8,1.1,27.6,0.2,0,0,0,0,0,0,0,12.9,12.9
70,Isiah Pacheco,KC,RB,11,PHI,0,0,0,55.8,0.5,2.4,13.8,0.1,0,0,0,0,12.9,12.86
71,Rachaad White,TB,RB,11,SF,0,0,0,48.3,0.3,3.5,21.3,0.1,0,0,0,0,12.8,12.76
72,DeAndre Hopkins,TEN,WR,11,JAX,0,0,0,0.3,0,4.7,61.9,0.3,0,0,0,0,12.7,12.72
73,Tyler Lockett,SEA,WR,11,LAR,0,0,0,0.2,0,4.6,55.9,0.4,0,0,0,0,12.6,12.61
74,Aidan O'Connell,LV,QB,11,MIA,210.6,1,0.9,6,0.1,0,0,0,0,0,0,0,12.5,12.52
75,Jordan Addison,MIN,WR,11,DEN,0,0,0,1.1,0,4.4,55.8,0.4,0,0,0,0,12.5,12.49
76,Chris Godwin,TB,WR,11,SF,0,0,0,0.6,0,5,56,0.3,0,0,0,0,12.5,12.46
77,Raheem Mostert,MIA,RB,11,LV,0,0,0,57.3,0.5,1.9,12.6,0.1,0,0,0,0,12.4,12.39
78,Sam LaPorta,DET,TE,11,CHI,0,0,0,0,0,4.8,50.4,0.4,0,0,0,0,12.2,12.24
79,Zay Flowers,BAL,WR,11,CIN,0,0,0,1.9,0,4.7,54,0.3,0,0,0,0,12.1,12.09
80,Tyler Boyd,CIN,WR,11,BAL,0,0,0,0.2,0,4.8,53.4,0.3,0,0,0,0,12,11.96
81,Amari Cooper,CLE,WR,11,PIT,0,0,0,0,0,4.1,59.8,0.3,0,0,0,0,11.9,11.88
82,De'Von Achane,MIA,RB,11,LV,0,0,0,54.6,0.4,2.2,13,0.1,0,0,0,0,11.9,11.86
83,Trey McBride,ARI,TE,11,HOU,0,0,0,0,0,4.8,52.5,0.3,0,0,0,0,11.8,11.85
84,Kenny Pickett,PIT,QB,11,CLE,185.1,0.9,0.7,10.3,0.1,0,0,0,0,0,0,0,11.8,11.83
85,George Kittle,SF,TE,11,TB,0,0,0,0.6,0,3.9,53.9,0.4,0,0,0,0,11.8,11.75
86,Dalton Schultz,HOU,TE,11,ARI,0,0,0,0,0,4.4,48.2,0.4,0,0,0,0,11.6,11.62
87,Evan Engram,JAX,TE,11,TEN,0,0,0,0,0,5.1,46.1,0.3,0,0,0,0,11.5,11.51
88,Tommy Devito,NYG,QB,11,WAS,169.5,0.8,0.9,20.2,0.1,0,0,0,0,0,0,0,11.5,11.5
89,David Montgomery,DET,RB,11,CHI,0,0,0,58.3,0.6,1.2,8.6,0,0,0,0,0,11.4,11.39
90,Calvin Ridley,JAX,WR,11,TEN,0,0,0,0.3,0,4.2,52.7,0.3,0,0,0,0,11.3,11.3
91,Dalton Kincaid,BUF,TE,11,NYJ,0,0,0,0,0,4.9,45.9,0.3,0,0,0,0,11.3,11.29
92,Rashee Rice,KC,WR,11,PHI,0,0,0,0.3,0,4,47.7,0.4,0,0,0,0,11.2,11.2
93,Jerome Ford,CLE,RB,11,PIT,0,0,0,57.9,0.3,2,10.9,0.1,0,0,0,0,11.2,11.18
93,Courtland Sutton,DEN,WR,11,MIN,0,0,0,0,0,4,48.8,0.4,0,0,0,0,11.2,11.18
95,James Cook,BUF,RB,11,NYJ,0,0,0,54.7,0.3,1.9,11.6,0.1,0,0,0,0,10.8,10.83
96,Diontae Johnson,PIT,WR,11,CLE,0,0,0,1.2,0,4.4,50.7,0.2,0,0,0,0,10.8,10.79
97,Cole Kmet,CHI,TE,11,DET,0,0,0,0.5,0,4,42.8,0.4,0,0,0,0,10.7,10.73
98,Jerry Jeudy,DEN,WR,11,MIN,0,0,0,0.5,0,3.9,48.7,0.3,0,0,0,0,10.6,10.62
99,Jakobi Meyers,LV,WR,11,MIA,0,0,0,0.6,0,4.1,46.3,0.3,0,0,0,0,10.6,10.59
100,Najee Harris,PIT,RB,11,CLE,0,0,0,49.3,0.3,2,11.4,0.1,0,0,0,0,10.5,10.47
101,Jaylen Warren,PIT,RB,11,CLE,0,0,0,43.9,0.2,2.7,16.3,0.1,0,0,0,0,10.4,10.42
102,George Pickens,PIT,WR,11,CLE,0,0,0,0.5,0,3.4,49.6,0.3,0,0,0,0,10.2,10.21
103,Jaxon Smith-Njigba,SEA,WR,11,LAR,0,0,0,0.2,0,3.9,44.5,0.3,0,0,0,0,10.2,10.17
104,Jahan Dotson,WAS,WR,11,NYG,0,0,0,0.1,0,3.5,46.5,0.3,0,0,0,0,10,9.96
105,Darrell Henderson Jr.,LAR,RB,11,SEA,0,0,0,47.1,0.4,1.8,10.3,0,0,0,0,0,9.9,9.94
106,Romeo Doubs,GB,WR,11,LAC,0,0,0,0,0,3.5,40.1,0.4,0,0,0,0,9.9,9.91
107,Chuba Hubbard,CAR,RB,11,DAL,0,0,0,47.7,0.3,1.7,10.4,0.1,0,0,0,0,9.8,9.81
108,Gabe Davis,BUF,WR,11,NYJ,0,0,0,0.3,0,3,44.4,0.4,0,0,0,0,9.8,9.77
109,Gus Edwards,BAL,RB,11,CIN,0,0,0,55.1,0.5,0.7,5,0,0,0,0,0,9.6,9.61
110,Riley Patterson,DET,K,11,CHI,0,0,0,0,0,0,0,0,0,0,0,0,9.6,9.56
110,Brandon Aubrey,DAL,K,11,CAR,0,0,0,0,0,0,0,0,0,0,0,0,9.6,9.56
112,Jake Ferguson,DAL,TE,11,CAR,0,0,0,0,0,3.8,37.1,0.3,0,0,0,0,9.3,9.31
113,Christian Watson,GB,WR,11,LAC,0,0,0,0.3,0,3.1,43.6,0.3,0,0,0,0,9.3,9.29
113,Brandin Cooks,DAL,WR,11,CAR,0,0,0,0.9,0,3.3,41,0.3,0,0,0,0,9.3,9.29
115,Curtis Samuel,WAS,WR,11,NYG,0,0,0,4.9,0.1,3.5,34,0.2,0,0,0,0,9.2,9.19
116,Jayden Reed,GB,WR,11,LAC,0,0,0,0.4,0,3.1,42,0.3,0,0,0,0,9.1,9.14
117,Brandon McManus,JAX,K,11,TEN,0,0,0,0,0,0,0,0,0,0,0,0,9.1,9.11
118,Jason Sanders,MIA,K,11,LV,0,0,0,0,0,0,0,0,0,0,0,0,9,9.04
119,Detroit Lions,DET,DST,11,CHI,0,0,0,0,0,0,0,0,3.4,0.9,0.7,0.7,9,9
120,Rondale Moore,ARI,WR,11,HOU,0,0,0,8.1,0.1,3.3,30.8,0.2,0,0,0,0,9,8.99
121,Harrison Butker,KC,K,11,PHI,0,0,0,0,0,0,0,0,0,0,0,0,8.9,8.91
122,Justin Tucker,BAL,K,11,CIN,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.81
122,Cameron Dicker,LAC,K,11,GB,0,0,0,0,0,0,0,0,0,0,0,0,8.8,8.81
124,Dallas Cowboys,DAL,DST,11,CAR,0,0,0,0,0,0,0,0,3.2,0.9,0.8,0.7,8.8,8.8
125,Quentin Johnston,LAC,WR,11,GB,0,0,0,0.4,0,3.2,37.5,0.3,0,0,0,0,8.8,8.79
126,Pittsburgh Steelers,PIT,DST,11,CLE,0,0,0,0,0,0,0,0,2.9,1,0.8,0.7,8.7,8.7
127,Jake Moody,SF,K,11,TB,0,0,0,0,0,0,0,0,0,0,0,0,8.6,8.64
128,Ty Chandler,MIN,RB,11,DEN,0,0,0,42.6,0.3,1.3,6.7,0.1,0,0,0,0,8.6,8.63
129,David Njoku,CLE,TE,11,PIT,0,0,0,0,0,3.7,36.9,0.2,0,0,0,0,8.6,8.59
130,Jason Myers,SEA,K,11,LAR,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.51
130,Wil Lutz,DEN,K,11,MIN,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.51
132,Alexander Mattison,MIN,RB,11,DEN,0,0,0,43.3,0.3,1.4,10.2,0,0,0,0,0,8.4,8.45
133,Matt Ammendola,HOU,K,11,ARI,0,0,0,0,0,0,0,0,0,0,0,0,8.4,8.41
133,Logan Thomas,WAS,TE,11,NYG,0,0,0,0,0,3.3,33.1,0.3,0,0,0,0,8.4,8.41
135,Robert Woods,HOU,WR,11,ARI,0,0,0,0.7,0,3.4,37.2,0.2,0,0,0,0,8.4,8.39
136,Washington Commanders,WAS,DST,11,NYG,0,0,0,0,0,0,0,0,3.1,0.8,0.7,0.6,8.3,8.3
136,San Francisco 49ers,SF,DST,11,TB,0,0,0,0,0,0,0,0,2.7,0.9,0.7,0.7,8.3,8.3
136,Buffalo Bills,BUF,DST,11,NYJ,0,0,0,0,0,0,0,0,3.1,0.8,0.7,0.6,8.3,8.3
139,Dustin Hopkins,CLE,K,11,PIT,0,0,0,0,0,0,0,0,0,0,0,0,8.3,8.26
140,K.J. Osborn,MIN,WR,11,DEN,0,0,0,0.2,0,3.4,36.3,0.2,0,0,0,0,8.2,8.25
141,Miami Dolphins,MIA,DST,11,LV,0,0,0,0,0,0,0,0,2.8,0.9,0.7,0.6,8.2,8.2
142,Matt Prater,ARI,K,11,HOU,0,0,0,0,0,0,0,0,0,0,0,0,8.2,8.16
143,Tyler Bass,BUF,K,11,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,8.1,8.14
144,Evan McPherson,CIN,K,11,BAL,0,0,0,0,0,0,0,0,0,0,0,0,8.1,8.11
144,Zay Jones,JAX,WR,11,TEN,0,0,0,0.3,0,3.3,35.8,0.2,0,0,0,0,8.1,8.11
146,Cleveland Browns,CLE,DST,11,PIT,0,0,0,0,0,0,0,0,2.7,0.8,0.7,0.7,8.1,8.1
147,Joey Slye,WAS,K,11,NYG,0,0,0,0,0,0,0,0,0,0,0,0,8,8.04
147,Jake Elliott,PHI,K,11,KC,0,0,0,0,0,0,0,0,0,0,0,0,8,8.04
149,Trenton Irwin,CIN,WR,11,BAL,0,0,0,0,0,3.1,36,0.2,0,0,0,0,7.9,7.9
150,Michael Wilson,ARI,WR,11,HOU,0,0,0,0,0,2.9,37.6,0.2,0,0,0,0,7.9,7.86
151,Cairo Santos,CHI,K,11,DET,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.84
151,Lucas Havrisik,LAR,K,11,SEA,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.84
153,Josh Reynolds,DET,WR,11,CHI,0,0,0,0.2,0,2.5,35,0.3,0,0,0,0,7.8,7.82
154,Nick Folk,TEN,K,11,JAX,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.81
155,Khalil Herbert,CHI,RB,11,DET,0,0,0,37.1,0.2,1.4,9.5,0.1,0,0,0,0,7.8,7.76
155,Luke Musgrave,GB,TE,11,LAC,0,0,0,0,0,3.2,33.6,0.2,0,0,0,0,7.8,7.76
155,Elijah Moore,CLE,WR,11,PIT,0,0,0,1.5,0,3.2,33.1,0.2,0,0,0,0,7.8,7.76
158,AJ Dillon,GB,RB,11,LAC,0,0,0,38.5,0.3,1.3,8,0,0,0,0,0,7.8,7.75
159,Odell Beckham Jr.,BAL,WR,11,CIN,0,0,0,0.2,0,2.6,33.1,0.3,0,0,0,0,7.7,7.73
160,Chris Boswell,PIT,K,11,CLE,0,0,0,0,0,0,0,0,0,0,0,0,7.7,7.71
161,Tyjae Spears,TEN,RB,11,JAX,0,0,0,21.6,0.1,2.8,15.3,0.1,0,0,0,0,7.7,7.69
162,Los Angeles Chargers,LAC,DST,11,GB,0,0,0,0,0,0,0,0,2.4,0.8,0.6,0.6,7.6,7.6
163,Anders Carlson,GB,K,11,LAC,0,0,0,0,0,0,0,0,0,0,0,0,7.6,7.59
164,Greg Zuerlein,NYJ,K,11,BUF,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.51
164,Kareem Hunt,CLE,RB,11,PIT,0,0,0,38.7,0.3,0.8,5.4,0.1,0,0,0,0,7.5,7.51
166,Denver Broncos,DEN,DST,11,MIN,0,0,0,0,0,0,0,0,2.3,0.8,0.6,0.6,7.5,7.5
167,Greg Joseph,MIN,K,11,DEN,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.49
168,Tutu Atwell,LAR,WR,11,SEA,0,0,0,3.3,0,2.6,33.1,0.2,0,0,0,0,7.4,7.44
169,Eddy Piñeiro,CAR,K,11,DAL,0,0,0,0,0,0,0,0,0,0,0,0,7.4,7.41
170,Jacksonville Jaguars,JAX,DST,11,TEN,0,0,0,0,0,0,0,0,2.8,0.8,0.7,0.6,7.4,7.4
171,Tyler Higbee,LAR,TE,11,SEA,0,0,0,0,0,3.1,30.8,0.2,0,0,0,0,7.4,7.38
172,Wan'Dale Robinson,NYG,WR,11,WAS,0,0,0,2.8,0,3.1,27.9,0.2,0,0,0,0,7.4,7.37
173,Keaton Mitchell,BAL,RB,11,CIN,0,0,0,35.6,0.3,1.2,7.9,0,0,0,0,0,7.4,7.35
174,Darnell Mooney,CHI,WR,11,DET,0,0,0,0.5,0,2.5,34.8,0.2,0,0,0,0,7.2,7.23
175,Royce Freeman,LAR,RB,11,SEA,0,0,0,39.1,0.3,0.9,5.9,0,0,0,0,0,7.2,7.2
176,Cade Otton,TB,TE,11,SF,0,0,0,0,0,3.1,28.4,0.2,0,0,0,0,7.1,7.14
177,D'Onta Foreman,CHI,RB,11,DET,0,0,0,39.2,0.3,0.9,5.6,0,0,0,0,0,7.1,7.08
178,Daniel Carlson,LV,K,11,MIA,0,0,0,0,0,0,0,0,0,0,0,0,7,6.99
178,Chase McLaughlin,TB,K,11,SF,0,0,0,0,0,0,0,0,0,0,0,0,7,6.99
180,DJ Chark Jr.,CAR,WR,11,DAL,0,0,0,0,0,2.4,33.7,0.2,0,0,0,0,7,6.97
180,Allen Lazard,NYJ,WR,11,BUF,0,0,0,0.1,0,2.5,32.6,0.2,0,0,0,0,7,6.97
182,Tyler Conklin,NYJ,TE,11,BUF,0,0,0,0,0,3.1,32,0.1,0,0,0,0,6.9,6.9
183,Khalil Shakir,BUF,WR,11,NYJ,0,0,0,0.3,0,2.5,31.1,0.2,0,0,0,0,6.8,6.84
184,Baltimore Ravens,BAL,DST,11,CIN,0,0,0,0,0,0,0,0,2.6,0.8,0.7,0.6,6.8,6.8
185,Jalen Guyton,LAC,WR,11,GB,0,0,0,0.4,0,2.4,31.5,0.2,0,0,0,0,6.8,6.79
186,Donald Parham Jr.,LAC,TE,11,GB,0,0,0,0,0,2.5,24.6,0.3,0,0,0,0,6.8,6.76
187,Darius Slayton,NYG,WR,11,WAS,0,0,0,0.2,0,2.3,32,0.2,0,0,0,0,6.7,6.72
188,Chigoziem Okonkwo,TEN,TE,11,JAX,0,0,0,0.3,0,3,30.1,0.1,0,0,0,0,6.6,6.64
189,Randy Bullock,NYG,K,11,WAS,0,0,0,0,0,0,0,0,0,0,0,0,6.6,6.59
190,Jonathan Mingo,CAR,WR,11,DAL,0,0,0,0.3,0,2.8,31.4,0.1,0,0,0,0,6.6,6.57
191,Michael Mayer,LV,TE,11,MIA,0,0,0,0,0,2.6,26.5,0.2,0,0,0,0,6.4,6.45
192,New York Jets,NYJ,DST,11,BUF,0,0,0,0,0,0,0,0,2.2,0.8,0.6,0.6,6.4,6.4
193,Zach Charbonnet,SEA,RB,11,LAR,0,0,0,26.3,0.2,1.7,8.6,0,0,0,0,0,6.4,6.39
194,Rashod Bateman,BAL,WR,11,CIN,0,0,0,0.1,0,2.2,29,0.2,0,0,0,0,6.3,6.31
195,Houston Texans,HOU,DST,11,ARI,0,0,0,0,0,0,0,0,2.3,0.7,0.7,0.6,6.3,6.3
195,New York Giants,NYG,DST,11,WAS,0,0,0,0,0,0,0,0,2.7,0.8,0.6,0.6,6.3,6.3
197,Michael Gallup,DAL,WR,11,CAR,0,0,0,0,0,2.3,27.8,0.2,0,0,0,0,6.3,6.28
198,Jerick McKinnon,KC,RB,11,PHI,0,0,0,8.5,0.1,2.3,14,0.2,0,0,0,0,6.2,6.25
199,Trey Palmer,TB,WR,11,SF,0,0,0,0,0,2.3,27.1,0.2,0,0,0,0,6.2,6.21
200,Kyle Philips,TEN,WR,11,JAX,0,0,0,0.1,0,2.4,31.4,0.1,0,0,0,0,6.2,6.15
201,Jaleel McLaughlin,DEN,RB,11,MIN,0,0,0,21.3,0.2,1.4,8.1,0.1,0,0,0,0,6.1,6.14
202,Brandon Powell,MIN,WR,11,DEN,0,0,0,5.8,0,2.2,20.1,0.2,0,0,0,0,6,5.99
203,Green Bay Packers,GB,DST,11,LAC,0,0,0,0,0,0,0,0,2.3,0.6,0.5,0.5,5.9,5.9
203,Minnesota Vikings,MIN,DST,11,DEN,0,0,0,0,0,0,0,0,2.7,0.6,0.6,0.6,5.9,5.9
205,Latavius Murray,BUF,RB,11,NYJ,0,0,0,26.2,0.2,1.3,7.2,0,0,0,0,0,5.8,5.84
206,Cincinnati Bengals,CIN,DST,11,BAL,0,0,0,0,0,0,0,0,2.4,0.7,0.6,0.6,5.8,5.8
206,Tennessee Titans,TEN,DST,11,JAX,0,0,0,0,0,0,0,0,2.4,0.7,0.6,0.6,5.8,5.8
208,Seattle Seahawks,SEA,DST,11,LAR,0,0,0,0,0,0,0,0,2.5,0.7,0.5,0.5,5.7,5.7
208,Kansas City Chiefs,KC,DST,11,PHI,0,0,0,0,0,0,0,0,2.5,0.7,0.6,0.5,5.7,5.7
210,Skyy Moore,KC,WR,11,PHI,0,0,0,1.5,0,2,22.9,0.2,0,0,0,0,5.6,5.64
211,Jameson Williams,DET,WR,11,CHI,0,0,0,0.4,0,1.8,25.2,0.2,0,0,0,0,5.6,5.56
212,Los Angeles Rams,LAR,DST,11,SEA,0,0,0,0,0,0,0,0,2.3,0.7,0.6,0.5,5.5,5.5
213,Tanner Hudson,CIN,TE,11,BAL,0,0,0,0,0,2.5,23.9,0.1,0,0,0,0,5.5,5.49
214,Irv Smith Jr.,CIN,TE,11,BAL,0,0,0,0,0,2.4,18.1,0.2,0,0,0,0,5.4,5.41
215,Justin Watson,KC,WR,11,PHI,0,0,0,0,0,1.6,25.3,0.2,0,0,0,0,5.3,5.33
216,Miles Sanders,CAR,RB,11,DAL,0,0,0,16.2,0.1,1.6,8.6,0.1,0,0,0,0,5.3,5.28
216,Roschon Johnson,CHI,RB,11,DET,0,0,0,12.8,0.1,1.8,10,0.1,0,0,0,0,5.3,5.28
218,Daniel Bellinger,NYG,TE,11,WAS,0,0,0,0,0,2.3,23.7,0.1,0,0,0,0,5.3,5.27
219,Carolina Panthers,CAR,DST,11,DAL,0,0,0,0,0,0,0,0,2.1,0.6,0.5,0.5,5.1,5.1
219,Arizona Cardinals,ARI,DST,11,HOU,0,0,0,0,0,0,0,0,2.1,0.6,0.5,0.5,5.1,5.1
219,Philadelphia Eagles,PHI,DST,11,KC,0,0,0,0,0,0,0,0,2.1,0.7,0.6,0.5,5.1,5.1
222,Kenneth Gainwell,PHI,RB,11,KC,0,0,0,16.9,0.1,1.4,7.9,0.1,0,0,0,0,5.1,5.08
223,Mecole Hardman Jr.,KC,WR,11,PHI,0,0,0,2.2,0,1.8,18.5,0.2,0,0,0,0,5.1,5.07
