"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Dak Prescott","DAL","QB","2555260","robust",316.55,6.00453000000002,2.1,0.14826,0.64,0.118608,19.6683333333333,1.43318,0.3,0.0423088639431548,0.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Patrick Mahomes","KC","QB","2558125","robust",302.77,2.06081399999998,2.4,0.504084,0.45,0.14826,24.5808333333333,0.427483000000001,0.208156971473388,0.024187051812891,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Russell Wilson","SEA","QB","2532975","robust",288.3,13.832658,2.6,0.14826,0.5,0.118608,23.75,1.415883,0.105163985256188,0.0153122490816495,0.11125,0.0333585,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jared Goff","LAR","QB","2555334","robust",277.4125,7.11648000000002,1.8,0.14826,0.8,0,9.12333333333333,0.649872999999999,0.107893827075296,0.0234067760436688,0.15,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Justin Herbert","LAC","QB","2565045","robust",283.125,9.93341999999998,1.635,0.14826,1,0.14826,14.31,2.505594,0.125,0.0393918144632621,0.333333333333333,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Matt Ryan","ATL","QB","310","robust",292.375,5.04083999999997,2,0,0.8,0,6.525,2.00151,0.080144933210626,0,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jimmy Garoppolo","SF","QB","2543801","robust",266.4,22.60965,1.9,0.14826,0.77,0.0741300000000001,4.548,1.03782,0.0833325406402838,0.014826,0.1875,0.0185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ben Roethlisberger","PIT","QB","2506109","robust",277.525,6.52343999999997,1.925,0.14826,0.8,0.0444779999999999,4.25,2.120118,0.06375,0.044478,0.0875,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Deshaun Watson","HOU","QB","2558063","robust",280.575,13.3434,2,0.14826,0.8,0.14826,24.7483333333333,2.500652,0.3,0.014826,0.10875,0.0259455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Teddy Bridgewater","CAR","QB","2543465","robust",279.55,9.04386000000003,1.83,0.0889560000000001,0.8,0.14826,12.7533333333333,1.33434,0.085029929027096,0.0443005088977101,0.125,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
