player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,1,15,0,26,,0,,,0,0,,0,0,0,,56.0,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,5.5,2,81.8,100.0,1,1,0.0,0,3,0,77.3,69.1,1,28,0.0,0,41,9,100.0,41,60.6,11,26.8,0,84,50,5.6,9.3,2.05
Davante Adams,8688,WR,LV,1,15,0,23,5.0,0,100.0,,0,0,0.0,0,1,0,64.7,69.6,0,3,0.0,0,6,1,83.3,5,118.8,1,20.0,1,3,0,0.0,3.0,0.6,0,13.8,1,80.0,100.0,1,1,0.0,0,6,0,76.5,90.7,1,41,0.0,0,25,8,96.0,24,79.2,10,41.7,0,126,53,6.6,15.8,5.25
Ja'Marr Chase,84270,WR,CIN,1,15,0,7,8.9,0,42.9,0.0,0,1,25.0,1,3,0,36.2,63.9,0,14,0.0,0,23,3,82.6,19,96.4,7,36.8,1,32,6,2.0,10.7,1.68,0,10.8,2,83.3,,0,0,0.0,0,5,0,73.4,81.0,0,24,0.0,0,36,5,97.2,35,118.8,6,17.1,0,83,38,7.6,16.6,2.37
Michael Pittman Jr.,29049,WR,IND,1,13,0,14,6.0,0,100.0,,0,0,0.0,0,1,0,64.7,69.4,0,8,0.0,0,6,1,100.0,6,100.0,1,16.7,0,8,2,2.0,8.0,1.33,0,9.8,0,63.6,0.0,0,2,0.0,0,6,0,75.6,77.6,0,28,0.0,0,42,7,95.2,40,127.1,11,27.5,1,110,39,5.6,15.7,2.75
Amon-Ra St. Brown,84470,WR,DET,1,12,0,11,3.0,0,50.0,,0,0,0.0,0,1,0,64.7,64.0,0,4,0.0,0,11,1,100.0,11,95.8,2,18.2,1,4,2,2.0,4.0,0.36,0,5.4,2,70.0,,0,0,22.2,2,2,0,31.8,55.6,0,29,0.0,0,27,7,92.6,25,85.4,10,40.0,0,60,30,4.3,8.6,2.4
Javonte Williams,77803,HB,DEN,1,12,0,10,,0,,,0,0,,0,0,0,,58.8,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,0.0,3,100.0,,0,0,0.0,0,2,0,74.6,82.0,0,13,0.0,0,11,6,90.9,10,93.8,6,60.0,0,39,39,6.5,6.5,3.9
Brandin Cooks,8655,WR,HST,1,12,0,13,11.7,0,33.3,100.0,1,1,0.0,0,1,0,64.7,66.0,0,4,0.0,0,8,1,87.5,7,42.4,3,42.9,0,4,0,0.0,4.0,0.57,0,12.4,1,62.5,50.0,1,2,16.7,1,3,0,45.8,66.8,0,42,0.0,0,30,5,96.7,29,93.8,8,27.6,0,76,3,0.6,15.2,2.62
Tyreek Hill,10799,WR,MIA,1,12,0,17,9.8,0,80.0,100.0,1,1,0.0,0,4,1,72.1,85.5,0,26,0.0,0,12,4,100.0,12,118.8,5,41.7,0,72,28,7.0,18.0,6.0,0,9.3,0,57.1,,0,0,20.0,1,1,0,42.1,56.2,0,14,0.0,0,17,4,100.0,17,62.8,7,41.2,0,22,14,3.5,5.5,1.29
A.J. Brown,48327,WR,PHI,1,11,0,24,10.8,1,80.0,50.0,1,2,0.0,0,3,0,72.1,81.9,0,54,0.0,0,20,4,95.0,19,118.8,5,26.3,0,87,39,9.8,21.8,4.58,0,8.4,0,100.0,,0,0,0.0,0,4,0,73.4,85.2,0,18,0.0,0,14,5,92.9,13,115.0,5,38.5,0,58,16,3.2,11.6,4.46
Donovan Peoples-Jones,61439,WR,CLV,1,11,0,8,6.0,0,75.0,100.0,1,1,0.0,0,2,0,70.5,71.3,0,15,0.0,0,13,3,84.6,11,87.5,4,36.4,0,22,2,0.7,7.3,2.0,0,9.4,0,60.0,100.0,2,2,25.0,1,1,0,36.2,68.4,0,15,0.0,0,18,3,88.9,16,83.8,5,31.3,0,38,0,0.0,12.7,2.38
