player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
A.J. Brown,48327,WR,PHI,1,15,0,24,5.9,1,62.5,0.0,0,2,0.0,0,2,0,73.4,68.7,0,15,0.0,0,20,5,90.0,18,112.5,8,44.4,1,36,15,3.0,7.2,2.0,0,16.1,1,42.9,50.0,1,2,0.0,0,2,0,70.5,72.2,1,45,0.0,0,20,3,95.0,19,34.5,7,36.8,0,61,11,3.7,20.3,3.21
Malik Nabers,146759,WR,NYG,1,14,0,21,13.8,0,0.0,0.0,0,1,,0,0,0,64.7,67.7,1,0,0.0,0,15,0,93.3,14,0.0,4,28.6,0,0,0,,,0.0,0,7.1,3,66.7,33.3,1,3,0.0,0,3,0,75.6,72.7,0,21,0.0,0,20,6,95.0,19,82.6,9,47.4,0,54,34,5.7,9.0,2.84
Brock Bowers,146715,TE,LV,1,13,0,23,2.0,0,100.0,100.0,1,1,0.0,0,1,0,72.1,70.7,0,7,0.0,0,17,3,88.2,15,79.2,3,20.0,0,9,3,1.0,3.0,0.6,0,4.0,0,77.8,100.0,2,2,12.5,1,5,0,52.1,78.3,0,32,3.8,1,26,7,84.6,22,104.2,9,40.9,0,81,53,7.6,11.6,3.68
Davante Adams,8688,WR,NYJ,1,13,0,22,9.7,0,50.0,,0,0,0.0,0,2,0,70.5,86.2,0,10,0.0,0,8,3,87.5,7,62.5,6,85.7,0,27,17,5.7,9.0,3.86,0,7.0,0,50.0,0.0,0,1,0.0,0,2,0,72.1,65.9,0,13,0.0,0,31,3,87.1,27,107.6,6,22.2,1,35,22,7.3,11.7,1.3
Brian Thomas Jr.,146760,WR,JAX,1,12,0,15,4.0,0,100.0,,0,0,0.0,0,1,0,29.9,69.2,0,16,0.0,0,6,1,50.0,3,118.8,1,33.3,0,16,12,12.0,16.0,5.33,0,11.8,0,70.0,100.0,2,2,0.0,0,2,0,76.5,71.4,0,62,0.0,0,34,7,94.1,32,139.2,10,31.3,1,109,36,5.1,15.6,3.41
Jaxon Smith-Njigba,129758,WR,SEA,1,12,0,29,19.8,0,50.0,33.3,1,3,0.0,0,2,0,68.3,80.5,0,25,0.0,0,12,2,83.3,10,128.1,4,40.0,1,43,4,2.0,21.5,4.3,0,9.6,0,71.4,50.0,1,2,0.0,0,2,0,73.4,65.1,0,16,0.0,0,29,5,100.0,29,84.8,7,24.1,0,39,15,3.0,7.8,1.34
Wan'Dale Robinson,101735,WR,NYG,1,12,0,21,6.4,0,20.0,0.0,0,2,0.0,0,1,0,64.7,60.4,0,15,0.0,0,16,1,93.8,15,39.6,5,33.3,0,15,12,12.0,15.0,1.0,0,1.8,2,75.0,0.0,0,1,0.0,0,2,0,70.5,67.4,1,11,0.0,0,19,3,94.7,18,50.0,4,22.2,0,24,20,6.7,8.0,1.33
Justin Jefferson,61398,WR,MIN,1,12,0,18,10.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,67.6,0,9,0.0,0,7,1,100.0,7,62.5,2,28.6,0,9,0,0.0,9.0,1.29,0,11.1,0,85.7,100.0,1,1,0.0,0,3,0,74.6,79.6,0,39,0.0,0,29,6,93.1,27,158.3,7,25.9,2,96,27,4.5,16.0,3.56
Keenan Allen,7857,WR,CHI,1,12,0,6,12.5,0,50.0,100.0,2,2,0.0,0,2,0,68.3,74.6,0,22,0.0,0,16,2,100.0,16,77.1,4,25.0,0,32,2,1.0,16.0,2.0,0,11.8,0,87.5,100.0,1,1,0.0,0,5,0,75.6,87.7,0,45,0.0,0,29,7,93.1,27,158.3,8,29.6,1,109,44,6.3,15.6,4.04
Tee Higgins,61211,WR,CIN,1,11,0,7,6.3,0,66.7,0.0,0,1,0.0,0,1,0,72.1,71.6,0,9,0.0,0,13,4,100.0,13,112.5,6,46.2,1,22,3,0.8,5.5,1.69,0,12.3,1,66.7,,0,0,0.0,0,1,0,68.3,74.2,0,21,0.0,0,11,2,100.0,11,97.9,3,27.3,0,29,10,5.0,14.5,2.64
Xavier Worthy,144718,WR,KC,1,11,0,16,10.7,0,33.3,0.0,0,1,33.3,1,2,0,29.9,60.1,0,12,0.0,0,20,2,80.0,16,45.8,6,37.5,0,23,24,12.0,11.5,1.44,0,1.4,1,100.0,,0,0,0.0,0,2,0,73.4,74.4,0,19,0.0,0,21,5,100.0,21,141.3,5,23.8,1,42,35,7.0,8.4,2.0
Nico Collins,61441,WR,HST,1,11,0,13,16.5,0,75.0,100.0,1,1,0.0,0,3,0,70.5,91.0,1,30,0.0,0,10,3,100.0,10,77.1,4,40.0,0,59,16,5.3,19.7,5.9,0,0.8,0,80.0,,0,0,0.0,0,0,0,72.1,55.4,1,8,0.0,0,21,4,95.2,20,39.6,5,25.0,0,1,3,0.8,0.3,0.05
David Njoku,11784,TE,CLV,1,10,0,8,11.0,0,33.3,50.0,1,2,0.0,0,0,0,64.7,54.4,2,2,0.0,0,9,1,77.8,7,2.8,3,42.9,0,2,0,0.0,2.0,0.29,0,4.2,1,100.0,100.0,1,1,0.0,0,3,0,73.4,90.3,0,29,0.0,0,10,5,100.0,10,116.7,5,50.0,0,60,39,7.8,12.0,6.0
Javonte Williams,77803,HB,DEN,1,10,0,10,,0,,,0,0,,0,0,0,,,0,0,100.0,2,2,0,0.0,0,0.0,0,,0,0,0,,,,0,-2.3,0,71.4,100.0,1,1,0.0,0,2,0,73.4,77.0,0,12,20.0,4,20,5,75.0,15,80.1,7,46.7,0,31,49,9.8,6.2,2.07
DJ Moore,48267,WR,CHI,1,10,0,6,17.3,0,33.3,0.0,0,1,0.0,0,1,0,64.7,61.6,0,17,0.0,0,15,1,100.0,15,53.5,3,20.0,0,17,0,0.0,17.0,1.13,0,8.9,0,85.7,,0,0,0.0,0,3,0,74.6,69.3,0,25,0.0,0,31,6,93.5,29,97.0,7,24.1,0,51,37,6.2,8.5,1.76
Chigoziem Okonkwo,84000,TE,TEN,1,9,0,31,,0,,,0,0,,0,0,0,,52.8,0,0,0.0,0,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,4.0,4,100.0,,0,0,0.0,0,3,0,77.3,81.7,0,22,0.0,0,23,9,100.0,23,104.2,9,39.1,0,81,45,5.0,9.0,3.52
Jake Ferguson,61081,TE,DAL,1,9,0,9,3.0,0,66.7,,0,0,0.0,0,1,0,68.3,76.5,0,21,20.0,1,5,2,80.0,4,93.8,3,75.0,0,26,17,8.5,13.0,6.5,0,0.5,2,66.7,0.0,0,1,0.0,0,0,0,72.1,54.7,0,6,15.0,3,20,4,70.0,14,70.1,6,42.9,0,14,17,4.3,3.5,1.0
Deebo Samuel,48274,WR,SF,1,9,0,28,2.0,2,66.7,0.0,0,1,0.0,0,1,0,68.3,77.6,0,16,0.0,0,8,2,100.0,8,126.4,3,37.5,1,21,18,9.0,10.5,2.63,0,2.5,4,83.3,0.0,0,1,0.0,0,4,0,74.6,90.3,0,27,0.0,0,23,5,95.7,22,118.8,6,27.3,0,75,75,15.0,15.0,3.41
Zay Flowers,97268,WR,BLT,1,9,0,3,15.0,1,60.0,,0,0,25.0,1,3,0,36.8,83.3,0,49,0.0,0,16,3,100.0,16,104.2,5,31.3,0,77,22,7.3,25.7,4.81,0,5.0,0,100.0,,0,0,0.0,0,2,0,70.5,69.1,0,14,0.0,0,7,3,100.0,7,102.8,3,42.9,0,26,11,3.7,8.7,3.71
Dalton Schultz,47304,TE,HST,1,8,0,13,10.0,0,33.3,0.0,0,1,0.0,0,1,0,64.7,82.9,0,10,9.1,1,11,1,90.9,10,83.3,3,30.0,1,10,0,0.0,10.0,1.0,0,0.0,0,100.0,,0,0,0.0,0,1,0,70.5,64.5,0,24,0.0,0,18,3,94.4,17,105.6,3,17.6,0,28,28,9.3,9.3,1.65
Mike Evans,8642,WR,TB,1,8,0,30,17.0,0,100.0,100.0,1,1,0.0,0,2,0,68.3,84.5,0,26,0.0,0,9,2,77.8,7,118.8,2,28.6,0,36,2,1.0,18.0,5.14,0,19.5,0,50.0,0.0,0,1,0.0,0,2,0,68.3,62.1,0,15,0.0,0,27,2,100.0,27,75.0,4,14.8,0,30,4,2.0,15.0,1.11
Marvin Harrison Jr.,145056,WR,ARZ,1,8,0,1,12.8,0,40.0,0.0,0,1,0.0,0,1,0,68.3,60.8,0,9,0.0,0,15,2,93.3,14,48.8,5,35.7,0,16,2,1.0,8.0,1.14,0,10.0,0,66.7,0.0,0,1,0.0,0,1,0,68.3,66.1,0,12,0.0,0,21,2,90.5,19,89.6,3,15.8,0,23,0,0.0,11.5,1.21
