PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Tua Tagovailoa,MIA,2.52,3.8,5.8,-2,16.2,43.8,-4.1,37,338,1,0,101,62.2,69.7,-7.5
Matthew Stafford,LAR,2.72,4.1,6.1,-2.1,14.3,38.1,-2.5,49,317,1,1,85.2,69.4,71.1,-1.7
Patrick Mahomes,KC,2.72,4.6,5.3,-0.7,7.1,38.3,-4.4,28,291,1,1,101.9,71.4,74.7,-3.3
Baker Mayfield,TB,2.36,4.4,5,-0.5,10,42.1,-3.7,30,289,4,0,146.4,80,69.7,10.3
Jalen Hurts,PHI,3.07,5.5,8,-2.5,14.7,36.4,-1.8,34,278,2,2,80.3,58.8,56,2.8
Lamar Jackson,BAL,3.01,3.8,7.2,-3.4,14.6,42.6,-1.9,41,273,1,0,90.8,63.4,71.2,-7.8
Jordan Love,GB,2.8,7.1,9.5,-2.3,14.7,41,-0.9,34,260,2,1,83,50,63.8,-13.8
Gardner Minshew,LV,2.64,4.5,4.4,0.1,15.2,28.3,-3.5,33,257,1,1,95.1,75.8,71.4,4.4
C.J. Stroud,HOU,3.08,6.1,8.1,-2,25,59.8,-0.4,32,234,2,0,115.9,75,62.4,12.6
Josh Allen,BUF,2.65,5.5,7.2,-1.6,17.4,43.9,-2.6,23,232,2,0,137.7,78.3,74.3,4
Brock Purdy,SF,2.74,8.6,9.5,-0.9,24.1,35.9,1,29,231,0,0,89.9,65.5,63.6,1.9
Jared Goff,DET,2.67,3.3,6.8,-3.4,10.7,50.4,-0.2,28,217,1,1,85,64.3,73,-8.7
Anthony Richardson,IND,2.86,17.3,16.5,0.8,26.3,65.3,7.4,19,212,2,1,101.2,47.4,51.7,-4.3
Sam Darnold,MIN,2.91,6.9,7.7,-0.8,12.5,48.3,-1.9,24,208,2,1,113.2,79.2,66.4,12.7
Derek Carr,NO,2.83,6,9.5,-3.5,13,49.7,-0.9,23,200,3,0,142.5,82.6,66.3,16.3
Daniel Jones,NYG,2.82,4,4.5,-0.5,9.5,29.7,-5.5,42,186,0,2,44.3,52.4,69.7,-17.3
Jayden Daniels,WAS,2.35,1.6,5.2,-3.6,8.3,33.9,-5,24,184,0,0,93.1,70.8,75.5,-4.7
Dak Prescott,DAL,2.69,3.8,7.8,-4,25,33.7,-1.9,32,179,1,0,85.3,59.4,62.6,-3.2
Geno Smith,SEA,2.54,5.6,6,-0.4,20,37.2,-3.5,25,171,1,1,87.3,72,68.4,3.6
Deshaun Watson,CLE,2.82,2.5,8.8,-6.2,15.6,28.9,-0.6,45,169,1,2,51.1,53.3,62.2,-8.8
Aaron Rodgers,NYJ,2.47,4.7,6.3,-1.6,14.3,36.9,-0.8,21,167,1,1,82.8,61.9,72.6,-10.7
Joe Burrow,CIN,2.54,4.3,5.6,-1.3,13.8,32,-2.2,29,164,0,0,86,72.4,76.2,-3.8
Kyler Murray,ARI,3.19,3,5.9,-2.9,16.1,27.9,-2,31,162,1,0,91.1,67.7,71.5,-3.8
Trevor Lawrence,JAX,2.77,10.7,9.3,1.4,--,35.7,0.3,21,162,1,0,97.7,57.1,67.1,-10
Bryce Young,CAR,3.06,8.8,11.4,-2.7,10,35.4,3.5,30,161,0,2,32.8,43.3,60.3,-16.9
Justin Fields,PIT,3.06,5.7,5.8,-0.1,8.7,46.2,-3.1,23,156,0,0,91.9,73.9,72.6,1.3
Kirk Cousins,ATL,2.55,5.2,6.5,-1.3,11.5,30.5,-2.6,26,155,1,2,59,61.5,61.8,-0.2
Justin Herbert,LAC,2.73,3.8,6.7,-2.9,7.7,35.2,-2.4,26,144,1,0,92.5,65.4,67.1,-1.7
Bo Nix,DEN,2.84,2.5,6.1,-3.6,19,41.8,-2.3,42,138,0,2,47.5,61.9,68.9,-7
Will Levis,TEN,2.7,4.3,7.7,-3.4,21.9,38.9,-2.1,32,127,1,2,52.5,59.4,56.7,2.6
Jacoby Brissett,NE,3,4.7,6.9,-2.2,12.5,24.1,-1.5,24,121,0,0,75.2,62.5,62.5,0
Caleb Williams,CHI,2.71,2.7,7.8,-5.1,10.3,27,-2,29,93,0,0,55.7,48.3,64.4,-16.1
