PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Saquon Barkley,PHI,3.52,11.11,2.78,27,159,29,5.9,1.08,55.6,1
Alvin Kamara,NO,3.67,20.69,2.68,29,155,3,5.3,0.12,34.5,0
Tony Pollard,TEN,3.93,21.43,3.02,28,128,19,4.6,0.69,44.4,0
Chase Brown,CIN,3.58,18.52,2.59,27,120,27,4.4,1.01,55.6,0
James Conner,ARI,3.08,22.22,2.68,18,107,16,5.9,0.87,38.9,0
Kareem Hunt,KC,3.53,37.04,2.58,27,106,-6,3.9,-0.23,37,1
Joe Mixon,HOU,3.84,--,2.67,24,106,15,4.4,0.67,47.8,1
Derrick Henry,BAL,4.68,30.43,2.93,23,106,-9,4.6,-0.42,36.4,2
Josh Jacobs,GB,2.61,23.08,2.76,13,95,52,7.3,4.01,53.8,0
Bijan Robinson,ATL,4.6,--,3.21,19,86,4,4.5,0.22,44.4,0
J.K. Dobbins,LAC,2.66,14.29,2.46,14,85,26,6.1,1.84,50,2
Kenneth Walker III,SEA,4.17,20,2.64,25,83,-7,3.3,-0.27,40,0
Rico Dowdle,DAL,2.87,--,2.98,12,75,5,6.3,0.52,40,0
Breece Hall,NYJ,4.23,33.33,3,15,74,4,4.9,0.25,40,0
David Montgomery,DET,3.76,23.53,2.87,17,73,4,4.3,0.25,41.2,0
Chuba Hubbard,CAR,3.04,26.67,2.43,15,72,14,4.8,0.95,46.7,2
Kyren Williams,LAR,4.79,13.64,2.73,22,69,-32,3.1,-1.55,33.3,0
Tyrone Tracy Jr.,NYG,3.53,6.25,2.45,16,66,-23,4.1,-1.46,25,0
Jahmyr Gibbs,DET,2.9,18.18,2.72,11,65,11,5.9,1.04,36.4,1
Aaron Jones,MIN,5.53,28.57,2.75,21,64,-18,3,-0.92,25,0
De'Von Achane,MIA,3.71,16.67,2.76,12,63,-6,5.3,-0.5,33.3,1
Raheem Mostert,MIA,3.95,--,2.95,10,56,4,5.6,0.39,50,0
Chris Rodriguez Jr.,WAS,3.01,18.18,3,11,52,9,4.7,0.9,50,0
D'Andre Swift,CHI,4.98,6.25,2.69,16,51,-19,3.2,-1.19,18.8,0
Jonathan Taylor,IND,3.69,15.38,2.84,13,48,-6,3.7,-0.48,30.8,0
James Cook,BUF,3.17,40,2.37,10,44,10,4.4,1.01,70,0
Austin Ekeler,WAS,4.05,18.18,2.74,11,42,0,3.8,-0.04,27.3,1
Javonte Williams,DEN,4.24,25,2.47,12,42,-8,3.5,-0.66,25,0
Nick Chubb,CLE,6.02,--,2.9,15,39,-6,2.6,-0.43,42.9,0
Rhamondre Stevenson,NE,8.52,30,2.85,10,16,-14,1.6,-1.37,40,1
