PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Dak Prescott,DAL,2.84,8.5,9.5,-1,35.3,39.5,0.2,51,379,2,0,91.9,54.9,57,-2.1
Caleb Williams,CHI,2.82,7,10.2,-3.2,11.5,57.3,1.7,52,363,2,2,80.8,63.5,62.9,0.6
Joe Burrow,CIN,2.65,6.5,7.1,-0.6,2.6,48.1,-1.5,38,324,3,0,127.5,76.3,72.2,4.1
Andy Dalton,CAR,2.17,4.6,6.1,-1.5,5.4,38.3,-3.1,37,319,3,0,123.6,70.3,71.8,-1.5
Jalen Hurts,PHI,3.07,4.2,7.4,-3.3,10.5,42.3,-1.5,38,311,0,1,88.8,76.3,66.8,9.5
Brock Purdy,SF,3.39,10.8,11.1,-0.3,20,40.4,1.3,30,292,3,0,137.1,73.3,65,8.4
Geno Smith,SEA,2.81,5.1,5.5,-0.4,8.8,46.6,-5.6,34,289,1,2,86.5,76.5,70.9,5.6
Aaron Rodgers,NYJ,2.59,4.4,5.9,-1.5,17.1,27.9,-2.5,35,281,2,0,118.9,77.1,67.6,9.5
Josh Allen,BUF,2.73,3.5,6.1,-2.6,6.7,32.4,-2,30,263,4,0,142.1,76.7,72.4,4.3
Will Levis,TEN,2.68,4.7,6.6,-1.9,5.9,32.5,-2.5,34,260,2,2,92.8,76.5,76.9,-0.4
Jayden Daniels,WAS,2.65,7.4,9.2,-1.8,8.7,58.9,1.4,23,254,2,0,141.7,91.3,70.5,20.8
Justin Fields,PIT,2.72,3.6,5.3,-1.7,12.5,31.4,-4.3,32,245,1,1,96,78.1,67.5,10.6
Daniel Jones,NYG,2.41,3.3,6.8,-3.5,20.6,43.6,-2.5,34,236,2,0,109.4,70.6,67.4,3.2
Kirk Cousins,ATL,2.55,4.1,6.9,-2.8,31,41.7,-1.6,29,230,1,1,89.7,69,63.4,5.6
Matthew Stafford,LAR,3.13,8.3,9.9,-1.6,16,55.2,0.7,25,221,1,0,105.6,64,57,7
Patrick Mahomes,KC,2.65,2.5,4.6,-2,5.1,29.4,-2.8,39,217,2,1,87.2,66.7,71.5,-4.8
Bo Nix,DEN,2.57,4.6,6.9,-2.2,16.7,35.1,-1.5,36,216,0,0,85,69.4,65.2,4.3
C.J. Stroud,HOU,2.5,5.1,7,-1.9,12.9,42.6,-4.6,31,215,1,2,68.6,64.5,67.7,-3.2
Gardner Minshew,LV,2.58,5.9,7.6,-1.8,14.3,51.2,-1,28,214,1,1,84.5,64.3,69.4,-5.1
Kyler Murray,ARI,2.88,7.2,11.6,-4.4,29.4,37.4,2.9,34,207,1,1,76.5,61.8,58,3.8
Malik Willis,GB,2.25,3.7,6.2,-2.5,15.8,42.3,-4.1,19,202,1,0,120.9,68.4,70.7,-2.2
Jared Goff,DET,2.99,5.1,7.7,-2.6,13,31.8,-0.8,23,199,2,1,113.6,78.3,71.8,6.5
Deshaun Watson,CLE,2.55,5.4,7.2,-1.8,21.6,39.9,-2.7,37,196,2,0,89.5,56.8,65.1,-8.3
Lamar Jackson,BAL,2.6,3,3.2,-0.2,--,29.1,-5.9,15,182,1,0,139.4,80,81.8,-1.8
Sam Darnold,MIN,3.31,7.2,7.5,-0.3,14.3,37.6,-0.2,28,181,4,0,119.2,60.7,56.7,4.1
Trevor Lawrence,JAX,2.84,6.2,8.7,-2.5,7.9,30.2,-0.3,38,178,1,1,65.5,55.3,61.7,-6.4
Anthony Richardson,IND,2.62,6.5,9.4,-2.9,--,50.1,-0.8,20,167,0,2,39,50,66.3,-16.3
Baker Mayfield,TB,2.68,2.3,3.6,-1.3,12.1,27.5,-4.5,33,163,1,1,83.3,75.8,68.6,7.2
Derek Carr,NO,2.64,6.7,9.5,-2.8,20,39.5,0,25,142,1,1,69.1,56,61.4,-5.4
Justin Herbert,LAC,2.83,5,7.1,-2.1,--,31.7,-2.6,18,125,1,0,105.1,66.7,71.6,-4.9
Skylar Thompson,MIA,2.69,4,5,-1.1,5.3,26.9,-5.3,19,107,0,0,82.6,68.4,71.8,-3.4
Jacoby Brissett,NE,2.79,3.6,8.1,-4.5,11.1,30.3,-1.5,18,98,0,0,80.3,66.7,60.9,5.8
