PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Jonathan Taylor,IND,2.25,41.38,2.53,29,218,102,7.5,3.52,51.7,3
Derrick Henry,BAL,2.67,33.33,2.5,24,162,41,6.8,1.72,50,0
Chuba Hubbard,CAR,2.64,40,2.64,25,152,74,6.1,2.96,72,2
Saquon Barkley,PHI,3.32,17.24,2.73,29,150,57,5.2,2.05,32.1,2
Kyren Williams,LAR,3.34,34.78,2.87,23,122,31,5.3,1.48,61.9,1
De'Von Achane,MIA,3.32,17.65,2.87,17,120,8,7.1,0.55,20,1
James Conner,ARI,2.51,20,2.83,15,117,33,7.8,2.21,46.7,1
Jahmyr Gibbs,DET,3.64,17.39,2.72,23,109,16,4.7,0.69,39.1,1
James Cook,BUF,2.56,9.09,2.78,11,100,48,9.1,4.34,36.4,1
Bijan Robinson,ATL,4.45,4.55,2.73,22,94,12,4.3,0.53,50,2
Jerome Ford,CLE,2.3,--,2.96,11,92,57,8.4,5.16,45.5,1
Chase Brown,CIN,3.15,33.33,2.39,18,91,35,5.1,1.96,50,0
Josh Jacobs,GB,3.6,46.15,2.93,13,69,17,5.3,1.32,53.8,1
Bucky Irving,TB,3.88,6.25,3.06,16,68,11,4.3,0.7,56.3,1
Gus Edwards,LAC,3.37,50,2.86,14,68,23,4.9,1.67,42.9,2
Aaron Jones,MIN,4.34,5.56,2.68,18,67,-20,3.7,-1.09,33.3,0
Rhamondre Stevenson,NE,3.6,--,2.81,12,60,14,5,1.13,50,1
Joe Mixon,HOU,3.97,21.43,2.84,14,57,1,4.1,0.1,28.6,0
Kareem Hunt,KC,2.99,18.18,2.53,11,55,-10,5,-0.88,27.3,1
Breece Hall,NYJ,4.44,14.29,2.59,14,52,-14,3.7,-0.97,35.7,0
Emanuel Wilson,GB,3.99,54.55,2.98,11,52,17,4.7,1.57,45.5,1
Tank Bigsby,JAX,4.06,33.33,2.9,12,50,6,4.2,0.52,41.7,1
Jaylen Warren,PIT,3.68,16.67,2.62,12,48,-2,4,-0.2,41.7,0
Antonio Gibson,NE,6.21,--,3.21,10,28,-7,2.8,-0.72,30,0
Tyjae Spears,TEN,5,20,2.92,10,27,0,2.7,-0.05,44.4,2
Alexander Mattison,LV,5.44,16.67,2.76,12,27,-29,2.3,-2.45,--,1
Brian Robinson,WAS,5,--,2.55,10,24,-5,2.4,-0.47,30,0
Rico Dowdle,DAL,7.61,53.85,3.09,13,23,-27,1.8,-2.09,15.4,0
Tyler Allgeier,ATL,7.75,--,2.55,11,22,4,2,0.38,54.5,0
