PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Derrick Henry,BAL,2.51,12.5,2.93,24,199,119,8.3,5.19,47.8,1
Jordan Mason,SF,3.98,54.17,2.92,24,123,37,5.1,1.56,54.2,1
James Conner,ARI,3.14,22.22,2.8,18,104,23,5.8,1.34,58.8,1
Chuba Hubbard,CAR,2.72,33.33,2.46,18,104,38,5.8,2.26,47.1,1
Brian Robinson,WAS,3.5,0,2.79,21,101,7,4.8,0.34,45,1
Kyren Williams,LAR,3.21,0,2.46,19,94,7,4.9,0.41,44.4,1
D'Andre Swift,CHI,3.3,31.25,2.76,16,93,25,5.8,1.58,37.5,1
Aaron Jones,MIN,4.31,22.73,2.81,22,93,-14,4.2,-0.69,47.6,0
Tony Pollard,TEN,4.34,40.91,3.43,22,88,26,4,1.23,33.3,1
Jonathan Taylor,IND,3.52,23.81,2.52,21,88,8,4.2,0.36,33.3,1
Saquon Barkley,PHI,2.23,40,2.58,10,84,50,8.4,5.52,33.3,0
Chase Brown,CIN,3.29,33.33,2.68,15,80,24,5.3,1.62,66.7,2
Kenneth Walker III,SEA,4.07,50,3.12,12,80,41,6.7,3.39,58.3,3
Jahmyr Gibbs,DET,3.08,14.29,2.56,14,78,10,5.6,0.7,50,2
Javonte Williams,DEN,2.94,12.5,2.85,16,77,13,4.8,0.8,50,0
Alvin Kamara,NO,4.35,15.79,2.8,19,77,-1,4.1,-0.08,44.4,1
Kareem Hunt,KC,3,7.14,2.87,14,69,5,4.9,0.41,46.2,0
Jerome Ford,CLE,3.3,0,2.87,10,58,23,5.8,2.35,40,0
Cam Akers,HOU,5.61,15.38,3.37,13,53,-14,4.1,-1.15,25,0
Zack Moss,CIN,5.48,46.67,3.11,15,51,-5,3.4,-0.38,21.4,0
Zamir White,LV,4.93,41.18,2.89,17,50,-11,2.9,-0.66,35.3,0
Travis Etienne,JAX,3.97,45.45,2.9,11,50,15,4.5,1.49,50,0
Bucky Irving,TB,3.7,20,2.76,10,49,13,4.9,1.34,40,1
Rachaad White,TB,4.81,30,3.22,10,49,10,4.9,1,40,0
Rico Dowdle,DAL,3.69,18.18,2.8,11,46,2,4.2,0.23,54.5,0
Rhamondre Stevenson,NE,4.47,30.77,2.78,13,43,8,3.3,0.6,46.2,0
David Montgomery,DET,5.14,58.33,2.79,12,40,-7,3.3,-0.55,25,1
Tyjae Spears,TEN,5.59,13.33,2.83,15,39,-13,2.6,-0.92,35.7,1
J.K. Dobbins,LAC,5.42,0,3.05,14,32,-23,2.3,-1.66,7.1,0
Devin Singletary,NYG,10.56,50,3.03,14,24,-24,1.7,-1.82,30.8,0
Najee Harris,PIT,8.58,23.08,2.73,13,19,-30,1.5,-2.28,7.7,0
De'Von Achane,MIA,9.73,0,2.93,10,15,-28,1.5,-3.15,33.3,0
Breece Hall,NYJ,25.74,40,2.93,10,4,-16,0.4,-1.62,0,0
