PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Tua Tagovailoa,MIA,2.53,10.9,11.6,-0.7,15.6,50.8,2.5,45,466,3,1,110,62.2,59.6,2.6
Kirk Cousins,MIN,2.79,5.8,6.9,-1.1,13.6,47.7,-1.7,44,344,2,1,102.8,75,70.1,4.9
Matthew Stafford,LAR,2.75,9.2,10.9,-1.6,13.2,45.8,1.2,38,334,0,0,91.3,63.2,61.7,1.4
Mac Jones,NE,2.52,3.6,7.4,-3.8,11.1,35.6,-1.7,54,316,3,1,91.3,64.8,66.6,-1.8
Derek Carr,NO,2.86,8.7,12.4,-3.7,12.1,51.7,3.5,33,305,1,1,96.1,69.7,61.5,8.2
Jared Goff,DET,2.6,6.3,6.4,-0.1,5.7,32.8,-2.1,35,253,1,0,94.1,62.9,65.4,-2.5
Jordan Love,GB,2.81,6.4,10,-3.6,22.2,43.3,1.5,27,245,3,0,123.2,55.6,67.8,-12.3
C.J. Stroud,HOU,2.64,3.6,4.9,-1.3,16.3,32,-4,43,242,0,0,79.8,65.1,65.4,-0.3
Trevor Lawrence,JAX,2.43,6.3,6.7,-0.4,18.8,41,-1.8,32,241,2,1,103.8,75,66.9,8.1
Josh Allen,BUF,2.78,3.8,7.9,-4.1,22,30.4,-1.8,41,236,1,3,62.7,70.7,62.5,8.2
Kenny Pickett,PIT,2.89,3.8,7.1,-3.3,21.7,29.2,-0.9,46,232,1,2,68.4,67.4,62.9,4.5
Justin Herbert,LAC,2.66,4.3,7.4,-3.1,12.1,37,-1.7,33,228,1,0,99.1,69.7,65.6,4.1
Patrick Mahomes,KC,3.28,5.4,9.1,-3.7,5.1,42.2,0.2,39,226,2,1,77.5,53.8,64.5,-10.6
Anthony Richardson,IND,2.65,3.3,5.5,-2.2,10.8,26.3,-4.1,37,223,1,1,79,64.9,71.7,-6.8
Brock Purdy,SF,2.88,9.1,8.9,0.2,13.8,38.2,-0.4,29,220,2,0,111.3,65.5,66.1,-0.6
Justin Fields,CHI,2.95,3.3,3.3,0,2.7,40.7,-6.9,37,216,1,1,78.2,64.9,75.1,-10.3
Sam Howell,WAS,2.87,7.1,7.5,-0.5,16.1,33.2,-2.5,31,202,1,1,77.6,61.3,61.5,-0.2
Jimmy Garoppolo,LV,2.76,7,7.5,-0.6,19.2,36.7,-1.4,26,200,2,1,107.9,76.9,64.6,12.4
Ryan Tannehill,TEN,2.94,4.5,8.8,-4.3,26.5,25.8,-0.8,34,198,0,3,28.8,47.1,57.4,-10.3
Russell Wilson,DEN,2.9,4.2,4.6,-0.4,2.9,30.8,-3.1,34,177,2,0,108,79.4,71.6,7.8
Baker Mayfield,TB,2.47,4.3,7.5,-3.2,5.9,39.4,-0.5,34,173,2,0,94.4,61.8,68,-6.2
Jalen Hurts,PHI,3.26,5,9.7,-4.7,15.2,29.5,-0.4,33,170,1,0,89.2,66.7,60.7,6
Lamar Jackson,BAL,2.61,4.8,4.9,-0.1,9.1,36,-4,22,169,0,1,79.5,77.3,69.2,8.1
Deshaun Watson,CLE,3.21,5.5,11,-5.6,17.2,38,2,29,154,1,1,67.3,55.2,67.2,-12.1
Bryce Young,CAR,3.16,2.6,6.3,-3.7,7.9,27.9,-3,38,146,1,2,48.8,52.6,55.8,-3.2
Dak Prescott,DAL,2.37,5.2,6.4,-1.2,16.7,32.9,-1,24,143,0,0,72,54.2,69.6,-15.4
Zach Wilson,NYJ,3.29,3.4,4.3,-0.9,14.3,30.6,-5.6,21,140,1,1,81.4,66.7,61.1,5.6
Joshua Dobbs,ARI,2.68,3.2,6,-2.8,26.7,32.4,-3.4,30,132,0,0,78.8,70,60.4,9.6
Desmond Ridder,ATL,2.64,2.3,3,-0.7,5.6,45.5,-8.1,18,115,1,0,111.8,83.3,79.2,4.1
Geno Smith,SEA,2.67,2.7,5.6,-2.8,11.5,36.9,-2.6,26,112,1,0,84.1,61.5,62.3,-0.7
Daniel Jones,NYG,3.04,2.2,5.8,-3.6,14.3,22.7,-3.8,28,104,0,2,32.4,53.6,65.8,-12.3
Joe Burrow,CIN,2.56,2.1,7.1,-5,9.7,26.2,-0.9,31,82,0,0,52.2,45.2,59,-13.9
