PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Sam Howell,WAS,2.54,5.8,7.7,-1.9,11.5,42.9,-1,52,397,4,1,114,75,68.3,6.7
Brock Purdy,SF,3.03,8.8,9.1,-0.3,--,35.4,0.1,31,365,1,2,94.2,71,70.9,0
Josh Allen,BUF,2.27,5.4,5.7,-0.3,20,41.5,-2.9,40,324,2,1,106.7,77.5,71.3,6.2
Tua Tagovailoa,MIA,2.32,5.7,7.1,-1.4,20,53.1,-1.4,45,324,3,1,100.6,66.7,69.4,-2.8
Jalen Hurts,PHI,3.03,6.5,7.7,-1.2,26.3,47.5,-0.3,38,319,4,0,135.7,76.3,58.9,17.4
Derek Carr,NO,2.5,8.7,11.4,-2.7,14.8,51.3,3.3,27,310,2,0,133.3,70.4,68.1,2.3
Dak Prescott,DAL,2.53,7.4,8.5,-1.1,22.6,44.2,0.1,31,304,4,1,133.7,80.6,64.4,16.3
Justin Herbert,LAC,2.6,2.9,4.9,-2.1,17.5,41.6,-3,40,298,3,0,122.7,77.5,68.8,8.7
Trevor Lawrence,JAX,2.32,6.6,6.8,-0.2,15.6,39.3,-2.5,32,292,1,1,100,75,67.2,7.8
Joe Burrow,CIN,2.69,6.1,6.1,0,9.4,35.5,-2.2,32,283,3,0,134.8,87.5,69.7,17.8
Kirk Cousins,MIN,3.04,7.4,7.3,0.1,9.7,30.2,-0.8,31,274,2,0,122.2,74.2,64.2,10
Jared Goff,DET,2.56,3.6,4.5,-0.9,8.1,27.2,-3.8,37,272,1,1,89,70.3,71.5,-1.2
Geno Smith,SEA,2.7,5.4,8.1,-2.7,18.9,50.4,-0.7,37,254,2,2,78,62.2,65,-2.9
P.J. Walker,CLE,3.09,5.7,8.3,-2.7,16.1,35,-0.5,31,248,1,2,59.6,48.4,58.4,-10
Patrick Mahomes,KC,3.43,3.5,7.4,-3.9,18.4,43.6,-1.3,38,241,0,2,59.2,63.2,65.5,-2.4
Zach Wilson,NYJ,2.98,6.9,8.2,-1.3,22.2,37.6,-0.5,36,240,1,0,78.5,47.2,57.6,-10.4
Will Levis,TEN,2.78,6.8,11.5,-4.7,17.2,56.1,3.1,29,238,4,0,130.5,65.5,58,7.5
Baker Mayfield,TB,2.74,3.8,6.5,-2.7,14.3,34.7,-2.9,42,237,2,0,91.1,59.5,63.8,-4.3
Bryce Young,CAR,2.56,5.6,6.7,-1.1,16.1,39.8,-2.4,31,235,1,0,103.6,71,67.2,3.7
Tyson Bagent,CHI,2.74,4.4,7.3,-2.9,5.4,52.7,-1.3,37,232,0,2,62,67.6,71.4,-3.8
Jordan Love,GB,2.68,4.1,9.3,-5.2,14.6,46.8,0.4,41,229,1,1,72.1,58.5,66.8,-8.3
Gardner Minshew,IND,3,6.1,8.8,-2.7,12.2,43.4,-0.5,41,213,2,1,76.6,56.1,59.8,-3.7
Joshua Dobbs,ARI,2.63,5.5,7.6,-2.1,8.1,28.2,0.1,37,208,2,2,77.3,67.6,64.6,2.9
Taylor Heinicke,ATL,2.93,10.4,11.2,-0.8,19,34.8,2.8,21,175,1,0,100.3,57.1,54,3.2
Matthew Stafford,LAR,2.6,4.9,7.3,-2.4,13.6,31,-1,22,162,1,1,78.2,59.1,62.6,-3.5
Mac Jones,NE,2.6,3.9,6.6,-2.7,20.7,26.5,-2.7,29,161,2,1,88.4,65.5,64.1,1.4
Lamar Jackson,BAL,2.78,4.3,6.7,-2.3,14.8,40.3,-2.7,27,157,1,0,94.2,66.7,65,1.7
C.J. Stroud,HOU,2.52,4.2,8.6,-4.5,8.3,26.9,0.1,24,140,0,0,81.9,66.7,70.9,-4.2
Mitchell Trubisky,PIT,2.91,3.6,10.3,-6.7,14.8,32.3,2,27,138,1,2,51.2,55.6,61.2,-5.6
Jimmy Garoppolo,LV,3.03,5.5,9.4,-4,14.3,27.1,-0.3,21,126,0,1,46.9,47.6,67.7,-20.1
Russell Wilson,DEN,2.81,4.3,7.1,-2.7,15.8,44.5,-1.1,19,114,3,0,119.3,63.2,65.5,-2.4
Kenny Pickett,PIT,2.79,5.7,9.7,-4,12.5,31.2,2.2,16,73,0,0,73.2,62.5,61.3,1.2
