"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",286.3975,31.1346,2.03,0.0741300000000004,0.8,0,19.1,3.246894,0.1,0,0.10875,0.0259455,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","2565045","robust",297.59,11.8608,2.015,0.14826,0.79,0.0889559999999999,11.7725,2.505594,0.1,0,0.09,0.029652,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tom Brady","TB","QB","2504211","robust",277.2,9.78516000000003,1.9575,0.103782,0.5,0.14826,1.8275,1.33434,0.0625,0.044478,0.1625,0.0555975,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Joe Burrow","CIN","QB","2563722","robust",289.3075,4.4478,2.025,0.0741299999999997,0.8375,0.14826,14.4625,4.29954,0.155,0.14826,0.1075,0.022239,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Derek Carr","LVR","QB","2543499","robust",263.7625,9.93341999999998,1.75,0.118608,0.8475,0.163086,9.8,0.607866,0.1,0,0.195,0.014826,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dak Prescott","DAL","QB","2555260","robust",262.02,9.34038000000002,2.0275,0.103782,0.695,0.014826,14.1075,0.489258,0.1625,0,0.21,0.029652,0.3,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Matt Ryan","IND","QB","310","robust",267.47,14.129178,1.6,0.429954,0.9,0.14826,4.4,1.215732,0.025,0,0.333333333333333,0.02471,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Tua Tagovailoa","MIA","QB","2564499","robust",259.275,2.37216000000003,1.76,0.281694,0.8,0.0593040000000001,7.525,1.4826,0.115,0.044478,0.06875,0.0037065,0.08,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jimmy Garoppolo","SF","QB","2543801","robust",255.93,6.81996000000003,1.7025,0.429954,0.8425,0.14826,4.31,0.326172,0.095,0.014826,0.1825,0.051891,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Aaron Rodgers","GB","QB","2506363","robust",251.775,8.1543,1.8925,0.0593040000000001,0.3,0.0296519999999999,4.025,3.55824,0.0775,0,0.19375,0.0185325,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
