player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jonah Williams,41651,T,CIN,1,100.0,0,7,62.5,63.6,56.5,1,4,65,100.0,100.0,93.1,0,7,2,100,0,0,100,100,71,71,0,0,29,0
La'el Collins,9719,T,CIN,1,100.0,0,7,58.6,57.7,55.7,0,1,65,100.0,100.0,99.2,0,1,0,100,0,0,0,100,71,71,0,100,29,0
Ted Karras,10855,C,CIN,1,100.0,0,7,68.0,76.5,63.0,0,0,65,100.0,100.0,100.0,0,0,0,100,100,0,0,100,71,71,0,0,29,0
Cordell Volson,30614,G,CIN,1,100.0,0,7,54.2,44.3,64.7,2,3,65,100.0,100.0,93.1,1,7,2,100,0,100,0,100,71,71,0,0,29,0
Alex Cappa,66578,G,CIN,1,100.0,0,7,69.3,72.7,64.2,1,2,65,100.0,100.0,97.7,0,3,0,100,0,0,0,100,71,71,100,0,29,0
Quenton Nelson,12954,G,IND,1,100.0,0,14,81.8,81.3,83.6,0,1,54,100.0,100.0,99.1,1,1,0,92,0,92,0,92,56,56,0,0,36,0
Braden Smith,46794,T,IND,1,100.0,0,14,57.6,46.0,70.0,1,2,54,100.0,100.0,95.4,1,4,1,92,0,0,0,92,56,56,0,91,36,1
Danny Pinter,47339,G,IND,1,100.0,0,14,57.0,46.6,59.2,0,0,54,100.0,100.0,100.0,0,0,0,92,0,0,0,92,56,56,92,0,36,0
Ryan Kelly,10652,C,IND,1,100.0,0,14,68.8,86.1,62.0,0,0,54,100.0,100.0,100.0,0,0,0,92,92,0,0,92,56,56,0,0,36,0
George Fant,11282,T,NYJ,1,100.0,0,22,60.1,56.0,60.7,1,2,62,100.0,100.0,96.0,1,4,1,84,0,0,84,84,66,66,0,0,18,0
Connor McGovern,10778,C,NYJ,1,100.0,0,22,57.6,59.8,54.6,1,1,62,100.0,100.0,98.4,0,2,0,84,84,0,0,84,66,66,0,0,18,0
Max Mitchell,81707,T,NYJ,1,100.0,0,22,48.9,50.1,42.7,0,2,62,100.0,100.0,96.8,0,3,1,84,0,0,0,84,66,66,0,84,18,0
Laken Tomlinson,9461,G,NYJ,1,100.0,0,22,38.6,39.5,36.8,0,8,62,100.0,100.0,93.5,0,8,0,84,0,84,0,84,66,66,0,0,18,0
Alijah Vera-Tucker,57107,G,NYJ,1,100.0,0,22,76.2,45.0,91.1,0,3,62,100.0,100.0,97.6,0,3,0,84,0,0,0,84,66,66,84,0,18,0
James Hudson,59854,T,CLV,1,100.0,0,8,76.0,73.3,80.9,0,1,36,100.0,100.0,98.6,1,1,0,80,0,0,0,80,43,43,0,80,37,0
Jedrick Wills Jr.,58467,T,CLV,1,100.0,0,8,51.7,63.0,42.9,0,4,36,100.0,100.0,94.4,0,4,0,80,0,0,78,80,43,43,0,0,37,2
Wyatt Teller,46131,G,CLV,1,100.0,0,8,85.9,84.7,80.4,0,0,36,100.0,100.0,100.0,1,0,0,80,0,0,0,80,43,43,80,0,37,0
Ethan Pocic,11813,C,CLV,1,100.0,0,8,51.3,63.1,53.5,0,1,36,100.0,100.0,98.6,1,1,0,80,80,0,0,80,43,43,0,0,37,0
Joel Bitonio,8670,G,CLV,1,100.0,0,8,59.0,55.6,58.7,1,1,36,100.0,100.0,97.2,0,2,0,80,0,80,0,80,43,43,0,0,37,0
Matt Pryor,46647,T,IND,1,100.0,0,14,65.1,60.6,65.0,0,1,51,100.0,100.0,99.0,0,1,0,80,0,0,80,80,51,51,0,0,29,0
Chase Roullier,11954,C,WAS,1,100.0,0,32,48.7,36.4,52.0,0,1,45,100.0,100.0,98.9,0,1,0,77,77,0,0,77,52,52,0,0,25,0
Samuel Cosmi,60114,T,WAS,1,100.0,0,32,74.1,65.7,78.9,0,0,45,100.0,100.0,97.8,0,1,1,77,0,0,0,77,52,52,0,76,25,1
Charles Leno Jr.,8880,T,WAS,1,100.0,0,32,73.7,89.5,55.3,0,0,45,100.0,100.0,100.0,0,0,0,77,0,0,76,77,52,52,0,1,25,0
Landon Dickerson,41712,G,PHI,1,100.0,0,24,60.8,78.8,54.1,0,1,42,100.0,100.0,98.8,0,1,0,75,0,75,0,75,44,44,0,0,31,0
Jordan Mailata,66916,T,PHI,1,100.0,0,24,59.8,70.4,56.8,0,2,42,100.0,100.0,97.6,1,2,0,75,0,0,71,75,44,44,0,0,31,4
Drew Dalman,52270,C,ATL,1,100.0,2,2,61.3,60.4,66.0,0,0,36,100.0,100.0,100.0,2,0,0,75,75,0,0,75,39,39,0,0,36,0
Kaleb McGary,46912,T,ATL,1,100.0,0,2,68.2,62.3,68.4,0,1,36,100.0,100.0,98.6,1,1,0,75,0,0,0,75,39,39,0,73,36,2
Chris Lindstrom,46692,G,ATL,1,100.0,0,2,79.4,68.6,77.5,0,0,36,100.0,100.0,100.0,0,0,0,75,0,0,0,75,39,39,75,0,36,0
Elijah Wilkinson,46238,G,ATL,1,100.0,0,2,62.6,81.3,56.2,0,0,36,100.0,100.0,100.0,0,0,0,75,0,75,0,75,39,39,0,0,36,0
Jason Kelce,6343,C,PHI,1,100.0,0,24,73.4,75.1,71.2,0,2,42,100.0,100.0,97.6,0,2,0,75,75,0,0,75,44,44,0,0,31,0
Jake Matthews,8641,T,ATL,1,100.0,0,2,67.2,77.8,58.7,0,1,36,100.0,100.0,98.6,1,1,0,75,0,0,75,75,39,39,0,0,36,0
Lane Johnson,7786,T,PHI,1,100.0,1,24,66.1,79.4,61.2,0,0,42,100.0,100.0,100.0,1,0,0,75,0,0,4,75,44,44,0,71,31,0
Isaac Seumalo,10713,G,PHI,1,100.0,0,24,60.8,70.3,55.8,0,1,42,100.0,100.0,98.8,0,1,0,75,0,0,0,75,44,44,75,0,31,0
Andrew Norwell,9126,G,WAS,1,100.0,1,32,53.6,89.2,52.4,0,0,43,100.0,100.0,100.0,2,0,0,74,0,74,0,74,50,50,0,0,24,0
Tytus Howard,25472,T,HST,1,100.0,0,13,69.1,71.3,64.1,0,1,41,100.0,100.0,96.3,1,2,1,70,0,0,0,70,43,43,0,66,27,4
Justin Britt,8699,C,HST,1,100.0,0,13,44.6,71.2,48.5,0,0,41,100.0,100.0,100.0,2,0,0,70,70,0,0,70,43,43,0,0,27,0
Brandon Scherff,9438,G,JAX,1,100.0,0,15,54.0,54.0,52.2,0,1,45,100.0,100.0,96.7,0,2,1,70,0,0,0,70,50,50,70,0,20,0
A.J. Cann,9500,G,HST,1,100.0,0,13,66.8,60.7,66.2,0,1,41,100.0,100.0,98.8,0,1,0,70,0,0,0,70,43,43,70,0,27,0
Laremy Tunsil,10647,T,HST,1,100.0,0,13,82.4,84.0,77.5,0,0,41,100.0,100.0,97.6,0,1,1,70,0,0,70,70,43,43,0,0,27,0
